temperature_2m_mean (°C),rain_sum (mm),wind_speed_10m_max (km/h),weather_code (wmo code),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),precipitation_hours (h),cloud_cover_mean (%),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_gusts_10m_min (km/h),sin_day,had_precipitation
27.5,0.0,13.1,0,6,23.17,0,0,13.6,49,18.0,7.2,-0.9854237542919524,0
27.8,0.0,19.6,0,330,22.54,0,0,14.2,48,20.6,7.9,-0.9882042449941422,0
26.4,0.0,18.0,3,301,18.35,0,26,16.5,58,23.1,7.2,-0.9906923101615609,0
25.6,0.0,16.3,3,297,18.96,0,19,15.9,58,22.3,8.6,-0.9928872135356962,0
26.1,0.0,16.6,2,338,18.21,0,22,16.8,60,20.1,7.9,-0.994788305609327,0
26.1,0.0,17.3,0,350,21.79,0,1,14.4,53,18.7,7.9,-0.9963950238187231,0
26.2,0.0,16.8,0,13,21.54,0,1,15.0,54,20.9,10.1,-0.9977068927101168,0
26.7,0.0,17.4,1,21,20.95,0,8,15.9,58,21.8,12.2,-0.9987235240803972,0
26.7,0.0,15.2,1,9,21.25,0,3,15.3,57,20.6,9.4,-0.9994446170919858,0
26.8,0.0,17.9,0,353,20.78,0,3,14.1,50,20.9,10.8,-0.9998699583618592,0
26.3,0.0,17.8,3,336,20.24,0,16,15.1,55,20.9,6.5,-0.9999994220246925,0
25.3,0.0,15.7,2,326,20.51,0,12,13.3,51,20.3,7.6,-0.999832969770105,0
25.1,0.0,17.8,0,352,20.39,0,1,14.2,55,18.9,7.2,-0.9993706508539969,0
25.5,0.0,18.7,1,19,19.36,0,4,15.9,60,24.0,11.2,-0.9986126020839734,0
25.1,0.0,18.7,1,8,19.86,0,5,15.7,60,28.5,16.9,-0.9975590477788613,0
24.9,0.0,20.5,0,10,20.2,0,0,14.1,55,27.5,13.3,-0.9962102997023297,0
25.5,0.0,19.3,3,32,20.09,0,16,14.2,54,25.5,14.0,-0.9945667569706337,0
27.5,0.0,13.0,3,24,19.79,0,41,12.7,44,18.7,10.8,-0.9926289059345095,0
28.9,0.0,13.0,0,70,19.97,0,0,11.3,38,17.6,11.5,-0.9903973200352558,0
30.0,0.0,14.6,0,208,20.1,0,0,8.5,28,19.7,11.5,-0.9878726596350429,0
24.9,0.0,21.7,1,269,19.39,0,6,11.6,50,24.8,8.3,-0.9850556718215013,0
22.5,0.0,15.9,0,265,20.0,0,0,5.8,35,19.0,9.7,-0.981947190186646,0
22.8,0.0,17.6,0,15,19.61,0,1,10.6,49,18.6,7.9,-0.9785481345802031,0
23.6,0.0,18.2,0,27,19.34,0,1,12.2,52,24.0,14.8,-0.9748595108374125,0
23.7,0.0,16.3,0,9,18.94,0,0,13.3,56,22.1,12.6,-0.9708824104813836,0
23.4,0.0,15.5,3,3,19.21,0,25,12.2,53,20.3,9.0,-0.9666180104000972,0
24.1,0.0,12.0,3,13,18.59,0,70,11.2,50,17.1,9.4,-0.9620675724981452,0
25.6,0.0,20.5,3,41,18.73,0,24,10.4,44,22.0,11.9,-0.957232443323312,0
22.7,0.0,23.1,3,18,18.48,0,19,11.9,53,38.2,31.0,-0.9521140536681102,0
20.9,0.0,20.8,1,21,18.25,0,8,9.9,52,30.9,18.4,-0.9467139181463862,0
21.7,0.0,19.2,0,12,18.22,0,6,11.3,54,30.8,21.6,-0.9410336347451197,0
21.7,0.0,19.8,1,349,16.65,0,14,11.6,55,26.7,18.7,-0.9350748843515574,0
21.1,0.0,14.1,3,355,17.78,0,47,10.2,53,20.6,14.4,-0.9288394302558068,0
21.5,0.0,15.6,2,342,17.93,0,13,11.4,55,18.9,8.3,-0.9223291176290545,0
21.6,0.0,19.7,3,352,15.78,0,64,12.5,61,22.7,9.4,-0.9155458729775467,0
21.9,0.0,15.5,0,350,16.75,0,5,12.0,58,18.6,8.3,-0.9084917035725082,0
22.6,0.0,17.0,3,19,15.21,0,36,12.7,57,18.7,10.8,-0.9011686968561569,0
22.2,0.0,15.2,2,13,14.65,0,30,13.4,59,22.4,14.0,-0.8935790198239952,0
21.2,0.0,19.9,1,8,15.22,0,11,10.1,52,21.7,8.6,-0.8857249183835637,0
19.5,0.0,16.4,1,323,16.83,0,11,8.5,53,20.8,8.6,-0.8776087166898392,0
19.8,0.0,16.2,1,342,16.03,0,16,8.3,51,22.1,10.1,-0.8692328164574792,0
19.5,0.0,14.3,1,10,16.96,0,6,7.4,50,21.1,12.2,-0.8605996962501181,0
19.7,0.0,10.6,0,18,16.8,0,0,9.0,54,16.7,9.0,-0.8517119107469189,0
20.3,0.0,12.2,3,12,15.73,0,30,9.7,55,15.7,10.8,-0.8425720899866032,0
19.2,0.0,18.7,1,325,16.57,0,5,10.5,62,23.4,11.2,-0.8331829385891785,0
18.9,0.0,11.7,1,323,16.65,0,14,6.5,47,17.2,10.1,-0.8235472349556007,0
18.6,0.0,14.8,0,351,15.74,0,3,8.0,52,17.1,4.0,-0.8136678304455991,0
18.7,0.0,14.8,3,20,16.41,0,21,9.0,57,21.7,11.9,-0.8035476485339116,0
19.1,0.0,17.4,3,31,16.21,0,13,9.6,59,24.3,13.0,-0.7931896839451843,0
19.1,0.0,20.7,3,41,15.57,0,78,8.5,55,27.4,14.8,-0.7825970017677834,0
19.2,0.0,17.1,3,43,15.32,0,68,7.8,52,24.1,16.2,-0.7717727365467836,0
19.8,0.0,16.6,0,50,16.17,0,2,9.3,57,25.0,18.0,-0.7607200913564104,0
19.7,0.0,11.5,3,35,14.81,0,14,12.5,68,17.5,10.1,-0.7494423368521954,0
18.8,0.0,12.3,1,328,13.53,0,16,12.0,68,15.1,8.3,-0.7379428103031386,0
16.3,4.4,19.8,55,233,11.86,6,28,11.6,75,23.2,5.0,-0.7262249146041543,1
15.3,0.0,28.8,2,230,15.18,0,9,3.9,48,36.1,20.9,-0.7142921172691032,0
15.7,0.0,15.9,3,239,14.01,0,36,6.7,56,22.3,8.6,-0.7021479494046978,0
16.2,0.0,12.6,3,267,14.89,0,43,8.8,65,16.2,4.0,-0.6897960046655887,0
15.8,0.0,14.2,3,334,11.15,0,51,10.3,72,16.6,6.1,-0.6772399381909491,0
15.5,0.0,21.4,2,305,11.41,0,36,8.0,65,22.9,10.1,-0.6644834655228552,0
15.9,0.0,14.8,3,293,8.53,0,57,7.8,60,19.3,10.1,-0.6515303615068021,0
16.0,0.0,15.9,3,321,11.22,0,48,7.0,58,19.7,9.7,-0.6383844591746642,0
15.9,0.0,13.8,0,28,14.86,0,1,6.7,58,16.5,9.0,-0.6250496486104377,0
16.3,0.0,15.9,0,42,14.59,0,3,8.1,62,20.0,12.6,-0.6115298757991053,0
16.6,0.0,16.3,3,4,13.12,0,26,9.7,68,21.0,10.1,-0.5978291414589552,0
16.2,0.0,14.2,1,333,13.06,0,13,9.5,69,19.2,9.4,-0.5839514998576998,0
15.7,0.0,13.8,3,351,10.54,0,38,9.0,67,16.4,8.6,-0.5699010576127624,0
14.7,2.0,11.8,53,316,10.09,6,46,10.0,76,16.7,6.8,-0.5556819724760489,1
15.2,0.0,15.6,3,351,9.91,0,43,9.7,73,17.5,8.6,-0.5412984521036173,0
15.3,0.0,13.6,3,9,11.74,0,39,8.1,65,16.1,7.6,-0.5267547528105542,0
15.9,0.0,11.4,3,3,8.9,0,64,9.1,66,16.0,9.7,-0.5120551783114646,0
15.7,0.0,13.5,3,29,11.1,0,38,10.1,73,16.8,9.7,-0.4972040784469378,0
15.6,0.0,17.4,0,20,13.57,0,4,7.3,61,23.6,13.7,-0.4822058478963526,0
15.5,0.0,16.3,1,21,13.42,0,8,7.0,59,23.4,14.8,-0.46706492487743034,0
15.5,0.0,20.5,3,42,13.46,0,44,5.9,58,24.8,15.8,-0.451785789832884,0
16.0,0.0,15.3,2,14,14.09,0,6,7.3,61,22.8,14.4,-0.4363729641045924,0
15.1,0.0,14.6,1,10,12.97,0,10,7.3,63,20.9,12.6,-0.42083100859565564,0
14.2,0.0,12.4,1,9,13.95,0,2,5.7,61,17.4,11.2,-0.4051645224207563,0
15.0,0.0,19.6,2,262,13.23,0,12,7.8,65,22.0,11.5,-0.3893781415452015,0
15.5,0.0,16.3,2,334,11.75,0,33,7.7,63,18.0,7.2,-0.37347653741307074,0
14.0,0.0,18.4,0,22,13.89,0,2,3.6,52,25.0,15.8,-0.3574644155648614,0
13.6,0.0,21.6,0,33,13.77,0,0,5.0,59,28.0,18.0,-0.34134651424503615,0
14.4,0.0,19.3,3,29,13.23,0,17,7.7,68,27.6,19.8,-0.3251276029999093,0
14.4,0.0,17.1,3,34,11.61,0,77,8.0,69,23.7,18.0,-0.30881248126625377,0
15.2,0.0,15.6,3,6,8.47,0,88,8.7,67,21.0,13.3,-0.29240597695107734,0
15.6,0.0,18.4,1,358,11.27,0,15,8.4,67,23.9,13.7,-0.27591294500296043,0
14.1,0.0,10.5,3,347,11.3,0,66,8.0,70,14.3,5.8,-0.2593382659754056,0
15.1,0.0,10.2,3,13,13.2,0,11,7.4,62,10.6,7.9,-0.2426868445825954,0
16.0,0.0,10.9,3,57,13.56,0,30,6.4,57,14.3,7.6,-0.22596360824801906,0
15.8,0.0,9.8,0,272,13.27,0,0,5.9,57,13.1,9.0,-0.20917350564635637,0
14.2,0.0,11.2,1,266,13.47,0,3,6.6,63,13.7,4.0,-0.19232150523909483,0
14.4,0.0,9.4,3,332,11.52,0,95,6.6,61,11.5,5.8,-0.17541259380427843,0
15.2,0.0,16.5,3,250,12.09,0,54,6.2,58,15.1,1.4,-0.15845177496083632,0
13.9,0.0,26.3,1,206,13.54,0,3,1.1,43,31.3,14.8,-0.14144406768794202,0
13.6,0.0,22.5,1,235,13.39,0,6,4.0,53,30.4,17.3,-0.12439450483979998,0
13.7,0.0,16.3,3,254,11.15,0,31,5.8,60,19.9,10.1,-0.10730813165636247,0
13.9,0.0,11.4,3,343,10.14,0,46,7.0,65,13.2,4.7,-0.09019000427034513,0
13.8,0.0,17.7,0,35,13.61,0,1,6.2,64,25.5,15.8,-0.07304518821104743,0
14.0,0.0,23.2,2,35,12.99,0,20,6.3,63,28.3,18.0,-0.05587875690537313,0
13.6,0.0,16.8,1,49,13.49,0,11,6.2,65,21.9,15.1,-0.03869579017652689,0
12.7,0.0,15.5,3,171,5.56,0,65,6.3,67,18.7,10.8,-0.021501372740813793,0
12.4,0.0,19.2,3,211,13.54,0,34,3.0,56,23.5,12.6,-0.004300592702981974,0
13.2,0.0,23.5,1,227,13.58,0,7,3.5,53,32.8,18.7,0.017201575418260506,0
13.4,0.0,12.1,3,271,7.89,0,64,6.6,64,18.6,12.2,0.03439806061360801,0
13.3,0.0,12.7,3,340,11.65,0,36,5.4,63,18.0,10.4,0.051584366869408364,0
13.3,0.0,11.5,2,4,11.01,0,26,7.1,69,15.6,9.7,0.06875540848113941,0
12.0,0.1,17.4,51,281,9.51,1,17,5.5,68,16.8,4.3,0.08590610426133272,1
11.7,0.0,19.9,1,201,13.59,0,2,1.9,53,24.9,10.1,0.10303137904317879,0
13.0,0.0,26.0,2,191,14.04,0,7,1.1,46,34.8,23.4,0.1201261651823505,0
12.9,0.0,24.5,2,224,14.26,0,10,1.9,48,34.3,24.1,0.13718540405660057,0
12.7,0.0,15.6,0,213,14.44,0,3,2.5,52,23.2,10.8,0.1542040475626894,0
11.7,0.0,18.7,3,202,14.73,0,21,0.6,49,24.0,13.7,0.17117705961019986,0
11.9,0.0,23.9,2,237,12.44,0,16,1.6,51,34.5,20.5,0.18809941761179758,0
10.5,0.0,23.2,0,235,14.44,0,2,0.2,51,29.2,19.4,0.20496611396949532,0
10.6,0.0,24.9,3,251,10.99,0,25,3.3,62,32.4,13.3,0.22177215755648186,0
11.3,0.0,16.1,3,219,10.9,0,45,3.9,63,20.5,10.4,0.23851257519407648,0
11.9,0.0,15.6,1,216,14.86,0,13,0.6,48,19.2,11.2,0.2551824131233728,0
11.4,0.0,20.2,0,220,15.24,0,1,-1.3,44,23.7,12.6,0.2717767384711357,0
11.9,0.0,11.3,3,279,12.18,0,46,2.0,51,15.7,10.1,0.2882906407095177,0
12.9,0.0,15.5,3,31,12.62,0,51,4.2,59,19.9,11.9,0.3047192331091634,0
11.7,0.0,21.4,2,353,14.4,0,17,3.0,60,28.1,15.5,0.321057654185271,0
11.3,0.0,19.4,3,336,11.02,0,61,1.0,52,20.7,10.1,0.3373010691361842,0
11.3,0.0,11.7,2,250,13.25,0,26,1.4,54,15.0,7.9,0.3534446712740877,0
11.5,0.0,32.3,3,249,8.94,0,37,1.9,52,33.3,11.2,0.3694836834473831,0
13.1,0.0,10.0,3,257,13.24,0,32,5.1,60,14.8,9.7,0.38541335945432564,0
13.5,0.5,10.5,51,217,12.83,2,43,5.1,59,12.3,2.5,0.4012289854475009,1
15.7,1.1,25.1,53,214,15.86,2,26,4.6,50,31.6,10.1,0.4169258813287287,1
14.0,0.0,25.8,2,228,14.11,0,16,5.4,58,30.1,15.8,0.4324994021339788,0
14.1,0.0,21.6,3,258,15.28,0,36,4.3,53,28.9,13.7,0.44794493940789115,0
13.2,0.0,12.2,3,298,9.85,0,64,6.3,66,18.0,12.2,0.4632579225674917,0
13.2,0.5,11.5,51,71,15.59,2,52,3.2,54,14.2,9.7,0.4784338202547012,1
14.8,0.8,30.3,51,182,9.48,2,70,2.5,46,30.3,12.2,0.49346814167723735,1
13.7,0.0,16.2,3,245,13.4,0,34,3.9,52,21.5,9.0,0.5083564379375122,0
11.8,0.1,23.5,51,279,10.46,1,58,5.0,65,28.3,9.7,0.5230943033491326,1
11.1,0.0,9.4,2,349,16.17,0,18,2.8,60,12.6,8.6,0.5376773767406141,0
12.8,0.0,14.9,3,65,14.77,0,72,2.7,54,24.3,16.9,0.5521013427459208,0
14.0,0.0,12.4,3,45,17.56,0,7,3.9,58,16.4,10.1,0.5663619330814524,0
14.3,0.0,13.8,3,48,17.61,0,37,2.6,54,19.2,12.2,0.580454927809098,0
16.6,0.0,11.3,3,97,9.86,0,97,-2.0,34,13.8,9.0,0.5943761565849831,0
13.4,0.0,22.8,3,253,7.57,0,100,-5.6,27,30.8,14.4,0.6081214998935418,0
10.5,0.0,10.9,3,250,18.14,0,55,-8.8,26,17.1,11.2,0.6216868902665479,0
11.5,0.0,16.9,3,295,17.5,0,50,-7.2,29,19.0,7.6,0.6350683134867438,0
12.8,0.0,14.1,3,267,15.84,0,90,-3.7,35,16.5,6.8,0.6482618097757122,0
13.4,0.0,18.3,3,51,18.11,0,69,2.1,51,19.9,9.4,0.6612634749656386,0
14.2,0.0,16.4,3,128,10.23,0,92,4.6,57,21.3,15.1,0.6740694616546161,0
17.6,0.0,13.9,3,229,17.33,0,57,-1.2,31,21.1,10.8,0.6866759803451553,0
16.0,0.0,9.0,3,39,11.31,0,83,2.4,43,14.8,9.0,0.6990793005655562,0
16.6,0.0,18.9,3,334,17.46,0,64,4.8,48,21.8,8.6,0.7112757519738152,0
13.1,0.0,23.5,3,271,16.89,0,55,3.0,54,27.2,11.5,0.7232617254437388,0
12.2,0.0,36.8,3,258,14.74,0,41,1.7,49,40.8,21.2,0.7350336741329413,0
11.2,0.1,20.5,51,295,12.32,1,43,2.2,56,29.4,17.3,0.746588114532413,1
11.5,0.0,15.8,3,310,14.41,0,49,2.1,55,21.0,9.7,0.7579216274973472,0
11.4,0.0,17.4,2,39,18.49,0,9,1.8,56,23.2,10.1,0.7690308592589181,0
13.3,0.0,20.3,2,32,19.35,0,14,3.8,57,30.6,20.2,0.7799125224167177,0
14.3,0.0,19.7,3,45,18.05,0,49,3.5,53,29.2,22.7,0.7905633969115482,0
15.3,0.7,13.0,51,24,15.04,3,44,7.1,61,19.8,7.6,0.8009803309782905,1
15.4,0.5,22.4,51,352,16.44,3,48,8.4,66,24.4,9.0,0.8111602420785621,1
14.4,0.0,20.4,2,316,15.35,0,22,6.2,62,25.8,14.8,0.8211001178128892,0
13.5,0.0,12.1,0,258,19.65,0,2,5.5,62,17.2,6.8,0.8307970168121247,0
15.7,0.0,20.4,1,202,20.4,0,4,2.3,45,23.8,10.4,0.8402480696078469,0
14.9,0.0,35.8,2,253,20.22,0,19,0.9,40,40.3,11.5,0.8494504794814806,0
11.5,0.0,40.8,3,262,14.05,0,30,2.7,56,40.9,18.0,0.8584015232918917,0
11.3,0.2,28.7,51,251,4.84,1,87,1.7,53,41.0,22.7,0.8670985522812081,1
10.2,0.4,29.3,51,292,16.3,3,46,1.7,58,34.4,16.9,0.8755389928586302,1
12.0,0.0,17.4,3,270,13.22,0,58,3.4,59,24.1,12.2,0.8837203473619977,0
14.4,0.0,18.8,2,259,18.1,0,34,4.4,54,23.0,10.8,0.8916401947968874,0
14.7,0.0,8.8,3,21,21.15,0,5,4.9,59,13.3,7.9,0.8992961915530253,0
16.2,0.0,18.7,0,3,21.31,0,1,5.0,52,17.3,8.6,0.9066860720977985,0
16.6,0.0,18.4,3,29,20.32,0,56,7.1,58,26.0,16.2,0.9138076496466615,0
15.6,0.0,21.1,2,40,20.47,0,13,7.6,65,31.9,20.5,0.9206588168102428,0
15.5,0.0,26.6,1,48,21.76,0,5,6.8,62,38.2,25.9,0.9272375462179537,0
17.7,0.0,26.9,2,56,22.09,0,7,6.4,56,38.8,31.3,0.9335418911179212,0
23.1,0.0,19.9,3,121,20.67,0,70,3.5,35,28.6,20.2,0.9395699859530622,0
21.3,0.0,19.9,3,248,21.24,0,46,0.7,26,29.2,13.3,0.945320046913132,0
18.3,0.0,25.1,2,251,22.05,0,19,3.6,40,27.7,13.0,0.9507903724625832,0
15.2,0.0,25.9,1,271,23.07,0,3,-1.1,34,30.5,16.2,0.9559793438440766,0
13.9,0.0,21.7,3,282,15.46,0,46,4.7,56,26.5,13.0,0.9608854255574977,0
14.4,0.0,25.1,3,308,15.0,0,42,3.9,51,29.3,11.5,0.9655071658143364,0
13.5,0.0,21.0,1,16,23.64,0,9,-1.8,37,31.9,14.8,0.969843196967294,0
12.7,0.0,24.9,0,41,23.8,0,0,0.2,46,34.7,18.7,0.9738922359149924,0
14.6,0.0,22.0,0,23,23.97,0,0,2.1,50,33.9,23.8,0.9776530844816641,0
15.5,0.0,23.1,0,11,23.69,0,0,4.5,54,33.7,22.3,0.981124629771712,0
15.9,0.0,19.7,1,17,23.38,0,3,4.6,57,28.4,16.9,0.984305844499033,0
16.0,0.0,18.0,3,25,23.25,0,19,4.2,56,25.0,12.6,0.9871957872910085,0
16.4,0.0,19.6,2,32,23.77,0,7,4.4,53,27.0,13.3,0.9897936029670716,0
17.1,0.0,22.5,0,31,24.38,0,2,5.6,55,32.8,21.2,0.992098522791769,0
16.9,0.0,17.9,1,356,24.4,0,12,6.2,56,26.5,17.3,0.9941098647022418,0
15.8,0.0,16.4,2,319,23.63,0,10,6.5,60,21.6,9.7,0.9958270335100595,0
16.0,0.0,21.4,2,305,22.09,0,16,6.5,60,25.0,10.4,0.9972495210773451,0
16.7,0.0,21.0,2,311,22.2,0,12,6.0,57,24.4,10.1,0.998376906467142,0
16.2,0.0,18.4,3,341,19.5,0,23,4.1,48,22.1,10.8,0.9992088560679753,0
15.6,0.0,11.3,3,317,25.39,0,7,3.6,52,16.8,9.0,0.9997451236925734,0
18.2,0.0,9.4,3,124,21.06,0,47,1.7,39,15.0,6.1,0.9999855506507186,0
22.8,0.0,33.0,2,200,23.94,0,10,0.1,24,35.7,15.8,0.9999300657962057,0
19.6,0.0,18.3,0,329,24.69,0,0,8.4,52,23.9,11.2,0.9995786855478958,0
19.1,0.0,16.6,3,41,25.18,0,21,8.1,56,23.9,12.6,0.9989315138848577,0
19.5,0.0,19.2,3,51,26.08,0,14,6.8,51,30.2,20.9,0.9979887423155984,0
21.8,0.0,14.8,3,42,24.56,0,33,8.6,52,23.7,16.6,0.9967506498213929,0
25.5,0.0,14.3,3,59,25.67,0,21,5.1,32,19.8,12.2,0.9952176027737294,0
27.7,0.0,25.5,1,235,25.31,0,4,2.1,21,27.8,14.8,0.9933900548258936,0
26.6,0.0,19.9,0,248,25.71,0,4,5.0,32,24.5,8.6,0.9912685467787256,0
22.2,0.0,16.9,0,334,25.87,0,0,7.9,45,23.9,9.4,0.9888537064205885,0
21.0,0.0,24.6,0,282,26.58,0,0,4.2,40,27.9,14.0,0.986146248341595,0
18.2,0.0,18.4,3,329,25.22,0,22,6.2,50,21.6,9.0,0.9831469737221499,0
18.3,0.1,12.1,51,27,24.96,1,30,5.9,48,18.4,11.2,0.9798567700958665,1
22.1,0.0,13.0,3,74,25.99,0,36,4.6,39,20.8,11.9,0.9762766110869321,0
26.6,0.0,14.3,3,104,23.76,0,85,0.5,20,21.0,15.1,0.9724075561219968,0
25.8,0.0,23.3,2,323,26.05,0,24,4.7,27,32.8,19.4,0.9682507501166718,0
20.1,0.0,15.8,2,27,26.88,0,11,7.8,53,24.0,14.0,0.9638074231367307,0
22.3,0.0,19.6,3,67,28.2,0,12,1.1,33,30.0,23.0,0.9590788900341131,0
24.9,0.0,28.9,3,256,26.27,0,54,-2.2,19,39.5,18.0,0.9540665500578387,0
20.4,0.0,14.0,0,343,27.51,0,0,5.1,41,19.6,7.6,0.9487718864399473,0
20.6,0.0,16.6,3,24,25.97,0,46,6.2,46,23.4,13.7,0.9431964659565866,0
22.6,0.0,16.1,3,37,27.78,0,14,2.9,33,24.5,12.6,0.9373419384643772,0
23.5,0.0,23.6,0,20,27.86,0,0,0.9,26,24.0,14.4,0.9312100364121947,0
20.3,0.0,19.7,3,7,26.81,0,14,9.0,55,26.6,18.0,0.9248025743285089,0
19.8,0.0,17.3,1,24,27.88,0,3,7.0,49,26.0,14.4,0.9181214482844364,0
21.1,0.0,18.5,1,39,28.2,0,3,7.1,49,29.7,18.4,0.9111686353326631,0
23.7,0.0,18.7,0,38,28.02,0,0,5.3,36,27.6,15.5,0.9039461929224011,0
24.0,0.0,16.2,0,13,28.53,0,0,1.6,27,21.5,10.1,0.8964562582905575,0
23.4,0.0,17.8,3,8,28.32,0,32,5.6,39,23.4,13.7,0.8887010478292915,0
23.5,0.0,19.0,2,15,28.12,0,9,7.6,44,22.1,13.3,0.8806828564301475,0
23.7,0.0,24.1,3,36,19.98,0,87,7.4,39,35.0,10.8,0.8724040568049612,0
22.5,0.1,20.4,51,347,23.29,1,37,10.3,52,33.3,20.9,0.8638670987837349,1
22.6,0.0,14.8,2,297,27.14,0,10,12.7,60,22.1,10.1,0.8550745085896932,0
24.0,0.0,9.4,3,283,28.3,0,13,9.4,49,16.7,7.2,0.8460288880917339,0
25.9,0.0,12.8,3,344,27.71,0,17,8.8,40,19.8,8.6,0.8367329140344921,0
27.8,0.0,17.5,3,52,27.44,0,21,5.5,28,24.6,17.6,0.8271893372462497,0
26.0,0.0,20.6,3,7,28.0,0,10,9.6,40,28.3,20.2,0.8174009818249189,0
23.2,0.0,18.2,1,14,28.81,0,5,9.0,49,25.2,15.5,0.8073707443023492,0
23.6,0.0,19.1,2,37,28.41,0,26,9.8,49,28.8,15.5,0.7971015927871943,0
24.4,0.0,18.5,1,20,27.55,0,13,12.0,52,27.3,17.3,0.7865965660866021,0
24.7,0.0,19.8,0,343,28.69,0,0,10.5,49,21.6,8.3,0.7758587728069828,0
26.0,0.0,18.4,0,41,28.61,0,0,9.0,42,22.8,11.5,0.7648913904341225,0
28.0,0.0,24.2,0,226,28.72,0,0,5.7,28,32.9,23.0,0.753697664392914,0
24.2,0.0,15.8,3,305,28.02,0,23,11.8,53,24.1,13.0,0.742280907086982,0
25.0,0.6,17.1,51,358,23.3,4,37,11.7,47,23.0,11.9,0.7306444969184916,1
25.4,0.0,17.8,0,22,28.89,0,0,11.1,47,20.2,8.3,0.7187918772884232,0
27.1,0.0,27.1,1,50,28.49,0,3,8.7,36,25.3,11.5,0.7067265555776158,0
28.2,0.0,21.7,1,259,27.11,0,7,9.0,34,29.8,16.9,0.6944521021088763,0
24.9,0.0,23.8,0,356,29.09,0,1,11.0,50,24.0,13.0,0.6819721490904629,0
23.7,0.0,18.2,1,351,28.37,0,5,10.6,49,28.3,15.8,0.6692903895412567,0
23.3,0.0,19.5,0,2,29.09,0,1,9.8,47,22.7,8.3,0.6564105761979381,0
24.4,0.0,14.6,3,24,28.85,0,13,10.2,47,20.2,9.4,0.6433365204044917,0
29.6,0.0,15.8,3,188,28.53,0,46,8.1,32,18.8,8.3,0.6300720909843687,0
26.4,0.0,19.5,0,329,28.75,0,0,11.9,47,27.4,12.6,0.6166212130956382,0
24.8,0.0,15.1,0,15,28.99,0,2,11.0,49,24.2,16.2,0.6029878670694714,0
28.4,0.0,17.8,1,35,27.57,0,18,9.1,35,26.5,21.2,0.5891760872322963,0
27.2,0.0,17.3,3,27,27.2,0,48,12.4,45,28.5,20.9,0.5751899607119775,0
27.1,0.0,17.8,3,46,22.49,0,91,11.6,41,29.6,20.9,0.5610336262283677,0
30.3,0.0,15.4,3,23,27.8,0,24,12.1,37,19.9,8.3,0.5467112728685939,0
25.7,0.0,22.4,3,312,28.18,0,22,13.9,53,32.1,21.2,0.5322271388474397,0
24.5,0.0,18.3,0,22,29.4,0,0,10.9,49,24.4,11.2,0.5175855102531889,0
28.2,0.0,13.6,1,49,28.99,0,2,8.9,34,21.2,11.5,0.5027907197793043,0
28.1,0.0,21.5,2,2,27.36,0,6,13.1,42,22.2,10.4,0.4878471454423119,0
27.5,0.0,24.6,0,39,28.84,0,0,12.7,45,32.7,22.3,0.47275920928627757,0
27.5,0.0,21.1,0,37,29.0,0,4,10.6,39,34.2,22.7,0.4575313760742512,0
25.9,0.0,18.8,0,1,29.49,0,0,12.4,50,27.5,18.7,0.44216815196707204,0
25.2,0.0,16.8,0,8,29.97,0,0,11.3,47,23.3,9.4,0.42667408318992467,0
26.9,0.0,16.3,0,23,29.51,0,0,10.8,42,23.1,11.9,0.4110537546870351,0
29.2,0.0,23.1,0,18,29.16,0,0,9.9,33,21.4,8.3,0.3953117887649151,0
26.6,0.0,19.6,0,13,29.15,0,1,14.0,51,29.2,20.9,0.37945284372454435,0
26.7,0.0,18.2,1,26,29.26,0,4,14.3,52,26.3,15.8,0.36348161248290634,0
27.8,0.0,18.2,0,21,29.45,0,1,14.1,51,24.9,15.5,0.3474028211842774,0
28.5,0.0,17.7,0,359,29.73,0,0,12.0,43,22.8,11.2,0.3312212278016865,0
28.2,0.0,16.0,0,14,29.95,0,0,10.3,38,21.2,9.7,0.31494162072895193,0
27.9,0.0,16.6,0,12,30.01,0,0,11.6,41,23.7,12.6,0.2985688173637202,0
27.8,0.0,17.5,0,359,29.52,0,1,14.5,50,25.5,11.2,0.2821076626819194,0
28.8,0.0,16.7,2,357,28.88,0,11,16.8,54,23.5,12.6,0.26556302780405594,0
29.4,0.0,15.6,1,353,29.33,0,7,15.4,50,19.7,11.5,0.24893980855376657,0
30.7,0.0,15.8,1,335,28.8,0,5,17.4,52,21.7,11.5,0.23224292400907015,0
30.3,0.0,16.6,2,324,28.53,0,5,17.7,53,21.6,11.5,0.21547731504673012,0
29.1,0.0,21.7,2,325,28.38,0,9,18.4,58,26.9,13.0,0.19864794288017112,0
28.3,0.0,18.4,2,311,28.79,0,8,16.2,55,24.4,7.6,0.18175978759137534,0
28.6,0.0,20.1,1,279,28.94,0,3,14.7,48,23.6,5.8,0.16481784665719793,0
29.9,0.0,15.7,1,320,28.31,0,4,14.6,46,21.2,7.9,0.14782713347053048,0
31.7,0.0,20.9,2,20,28.46,0,8,14.2,42,21.3,10.1,0.13079267585675922,0
30.5,0.0,18.5,0,354,29.31,0,0,12.6,40,24.0,11.2,0.11371951458594969,0
29.1,0.0,17.9,0,341,28.64,0,0,15.4,48,23.6,9.4,0.0966127018812031,0
29.9,0.0,18.7,0,339,29.13,0,0,15.6,48,23.6,7.9,0.07947729992362097,0
